issn_1,issn_2,quartile,title,h_index,category
15424863,00079235,Q1,Ca-A Cancer Journal for Clinicians,223,
10575987,15458601,Q1,MMWR Recommendations and Reports,155,
14710072,14710080,Q1,Nature Reviews Molecular Cell Biology,531,
00335533,15314650,Q1,Quarterly Journal of Economics,322,
14741784,14741776,Q1,Nature Reviews Drug Discovery,412,
17594782,17594774,Q1,Nature Reviews Clinical Oncology,238,
19447981,00028282,Q1,American Economic Review,380,
1474175X,14741768,Q1,Nature Reviews Cancer,527,
00221082,15406261,Q1,Journal of Finance,370,
19358245,19358237,Q1,Foundations and Trends in Machine Learning,42,
00928674,10974172,Q1,Cell,925,
00129682,14680262,Q1,Econometrica,231,
20588437,,Q1,Nature Reviews Materials,215,
00346527,1467937X,Q1,Review of Economic Studies,177,
00284793,15334406,Q1,New England Journal of Medicine,1231,
15698041,09237534,Q1,Annals of Oncology,311,
15356108,18783686,Q1,Cancer Cell,416,
15461696,10870156,Q1,Nature Biotechnology,531,
17238617,,Q1,World Psychiatry,153,
1546170X,10788956,Q1,Nature Medicine,653,
14764687,00280836,Q1,Nature,1442,
00346861,15390756,Q1,Reviews of Modern Physics,399,
2056676X,,Q1,Nature Reviews Disease Primers,210,
0304405X,,Q1,Journal of Financial Economics,331,
20587546,,Q1,Nature Energy,259,
14741741,14741733,Q1,Nature Reviews Immunology,486,
15487091,15487105,Q1,Nature Methods,408,
00223808,1537534X,Q1,Journal of Political Economy,225,
10614036,15461718,Q1,Nature Genetics,660,
14657368,08939454,Q1,Review of Financial Studies,250,
15206890,00092665,Q1,Chemical Reviews,873,
15453278,07320582,Q1,Annual Review of Immunology,337,
14710056,14710064,Q1,Nature Reviews Genetics,439,
15518922,15518930,Q1,National Vital Statistics Reports,120,
15458636,15460738,Q1,MMWR Surveillance Summaries,119,
26628449,,Q1,Nature Reviews Methods Primers,67,
17483387,17483395,Q1,Nature Nanotechnology,444,
14338351,23673613,Q1,Living Reviews in Relativity,101,
03637425,,Q1,Academy of Management Review,320,
14764660,14761122,Q1,Nature Materials,583,
1553877X,,Q1,IEEE Communications Surveys and Tutorials,287,
25201158,,Q1,Nature Catalysis,162,
19416520,19416067,Q1,Academy of Management Annals,119,
17401534,17401526,Q1,Nature Reviews Microbiology,393,
00664308,15452085,Q1,Annual Review of Psychology,298,
19457707,19457715,Q1,American Economic Journal: Macroeconomics,88,
2662138X,,Q1,Nature Reviews Earth and Environment,91,
23973358,,Q1,Nature Reviews Chemistry,131,
15477185,00222429,Q1,Journal of Marketing,296,
00220515,,Q1,Journal of Economic Literature,189,
15454282,00664146,Q1,Annual Review of Astronomy and Astrophysics,220,
23270608,,Q1,Annual Review of Organizational Psychology and Organizational Behavior,86,
22138595,22138587,Q1,The Lancet Diabetes and Endocrinology,189,
15534006,15534014,Q1,Annual Review of Pathology: Mechanisms of Disease,156,
03044076,18726895,Q1,Journal of Econometrics,198,
15221210,00319333,Q1,Physiological Reviews,401,
10974180,10747613,Q1,Immunity,475,
20593635,20959907,Q1,Signal Transduction and Targeted Therapy,161,
01406736,1474547X,Q1,The Lancet,936,
15504131,19327420,Q1,Cell Metabolism,368,
26621347,,Q1,Nature Cancer,81,
14744465,14744422,Q1,The Lancet Neurology,379,
23808942,23808950,Q1,MMWR supplements,30,
17494885,,Q1,Nature Photonics,404,
03060012,14604744,Q1,Chemical Society Reviews,673,
24681253,,Q1,The Lancet Gastroenterology and Hepatology,123,
26628643,20971710,Q1,eLight,32,
14702045,14745488,Q1,The Lancet Oncology,432,
15277755,0732183X,Q1,Journal of Clinical Oncology,646,
10976256,15461726,Q1,Nature Neuroscience,496,
25201131,,Q1,Nature Electronics,131,
25424351,,Q1,Joule,221,
21571716,21571724,Q1,Kidney International Supplements,54,
